"Country_Region","Confirmed","Deaths"
"Afghanistan",52513,2201
"Albania",58316,1181
"Algeria",99897,2762
"Andorra",8117,84
"Angola",17568,405
"Antigua and Barbuda",159,5
"Argentina",1629594,43319
"Armenia",159738,2828
"Australia",118,3
"Australia",4947,54
"Australia",75,0
"Australia",1255,6
"Australia",580,4
"Australia",234,13
"Australia",20388,820
"Australia",863,9
"Austria",362911,6261
"Azerbaijan",219041,2670
"Bahamas",7887,171
"Bahrain",92913,352
"Bangladesh",514500,7576
"Barbados",395,7
"Belarus",196223,1433
"Belgium",79680,0
"Belgium",81557,0
"Belgium",65260,0
"Belgium",49270,0
"Belgium",102209,0
"Belgium",97027,0
"Belgium",29349,0
"Belgium",18416,0
"Belgium",35462,0
"Belgium",10701,19581
"Belgium",25144,0
"Belgium",54214,0
"Belize",10776,248
"Benin",3251,44
"Bhutan",689,0
"Bolivia",160985,9175
"Bosnia and Herzegovina",112143,4086
"Botswana",14805,42
"Brazil",41689,796
"Brazil",105091,2496
"Brazil",68361,926
"Brazil",201574,5295
"Brazil",494684,9159
"Brazil",336504,10004
"Brazil",252077,4263
"Brazil",249271,5093
"Brazil",309191,6805
"Brazil",200959,4506
"Brazil",180659,4530
"Brazil",135361,2360
"Brazil",546884,12001
"Brazil",293807,7209
"Brazil",167062,3680
"Brazil",418323,7993
"Brazil",222993,9666
"Brazil",143210,2848
"Brazil",119338,3009
"Brazil",451912,8917
"Brazil",435390,25600
"Brazil",95999,1822
"Brazil",68858,787
"Brazil",494447,5270
"Brazil",1466191,46775
"Brazil",113544,2492
"Brazil",90592,1239
"Brunei",157,3
"Bulgaria",202540,7604
"Burkina Faso",6828,85
"Burma",125042,2697
"Burundi",822,2
"Cabo Verde",11872,113
"Cambodia",379,0
"Cameroon",26848,448
"Canada",100428,1046
"Canada",51990,901
"Canada",0,1
"Canada",13,0
"Canada",24700,667
"Canada",601,9
"Canada",390,4
"Canada",24,0
"Canada",1497,65
"Canada",266,1
"Canada",187344,4568
"Canada",94,0
"Canada",208390,8388
"Canada",13,0
"Canada",15350,155
"Canada",60,1
"Central African Republic",4963,63
"Chad",2141,104
"Chile",23887,585
"Chile",23161,311
"Chile",10859,225
"Chile",8520,113
"Chile",1588,15
"Chile",47898,802
"Chile",14308,299
"Chile",26170,263
"Chile",9004,93
"Chile",17010,233
"Chile",25783,556
"Chile",319937,10813
"Chile",10821,218
"Chile",21682,588
"Chile",15896,287
"Chile",58,1
"Chile",35982,1258
"China",993,6
"China",988,9
"China",590,6
"China",513,1
"China",182,2
"China",2046,8
"China",264,2
"China",147,2
"China",171,6
"China",373,6
"China",964,13
"China",1299,22
"China",8888,148
"China",68149,4512
"China",1021,4
"China",364,1
"China",684,0
"China",935,1
"China",157,2
"China",359,2
"China",46,0
"China",75,0
"China",18,0
"China",508,3
"China",863,7
"China",1520,7
"China",224,0
"China",853,3
"China",312,3
"China",1,0
"China",980,3
"China",230,2
"China",1306,1
"Colombia",3249,125
"Colombia",263708,4817
"Colombia",4600,134
"Colombia",94549,3443
"Colombia",52000,1107
"Colombia",28803,620
"Colombia",32668,644
"Colombia",475253,9868
"Colombia",15042,533
"Colombia",8825,182
"Colombia",18844,505
"Colombia",33637,996
"Colombia",4888,169
"Colombia",29590,1679
"Colombia",67608,1726
"Colombia",1235,20
"Colombia",1964,37
"Colombia",35109,1130
"Colombia",14217,545
"Colombia",24836,1075
"Colombia",34072,745
"Colombia",31603,987
"Colombia",40621,2022
"Colombia",5929,245
"Colombia",23916,659
"Colombia",34605,760
"Colombia",2471,39
"Colombia",67850,2405
"Colombia",17477,679
"Colombia",44552,1276
"Colombia",0,0
"Colombia",138870,4297
"Colombia",1139,12
"Colombia",1150,14
"Comoros",823,10
"Congo (Brazzaville)",7107,108
"Congo (Kinshasa)",17849,591
"Costa Rica",169321,2185
"Cote d'Ivoire",22563,138
"Croatia",212007,3961
"Cuba",12056,146
"Cyprus",23108,126
"Czechia",732022,11711
"Denmark",610,0
"Denmark",27,0
"Denmark",165930,1322
"Diamond Princess",712,13
"Djibouti",5840,61
"Dominica",88,0
"Dominican Republic",172218,2416
"Ecuador",213378,14051
"Egypt",139471,7687
"El Salvador",46515,1327
"Equatorial Guinea",5277,86
"Eritrea",1320,3
"Estonia",28406,234
"Eswatini",9482,216
"Ethiopia",124652,1937
"Fiji",49,2
"Finland",36403,561
"France",13166,71
"France",16926,114
"France",8620,155
"France",6091,43
"France",5890,55
"France",38,0
"France",9037,42
"France",190,0
"France",16,0
"France",995,12
"France",2636045,64399
"Gabon",9571,64
"Gambia",3800,124
"Georgia",228410,2528
"Germany",242744,4894
"Germany",330856,6813
"Germany",97652,1277
"Germany",46633,1125
"Germany",13708,201
"Germany",37297,658
"Germany",139368,2918
"Germany",12365,173
"Germany",109810,2017
"Germany",398678,6701
"Germany",73551,1459
"Germany",20476,469
"Germany",137094,3302
"Germany",31048,680
"Germany",25247,436
"Germany",43875,1027
